(('n2@870|4', (1, 1317)), '-')
(('n2@869|4', (1, 1318)), '-')
(('n2@794|9', (1, 1319)), '-')
(('n2@795|9', (1, 1320)), '-')
(('n2@807|9', (1, 1321)), '+')
(('n2@808|5', (1, 1322)), '-')
(('n2@870|5', (1, 1323)), '-')
(('n2@869|5', (1, 1324)), '-')
(('n2@868|3', (1, 1325)), '-')
(('n2@867|3', (1, 1326)), '+')
(('n2@866|3', (1, 1327)), '+')
(('n2@865|3', (1, 1328)), '+')
(('n2@861|3', (1, 1329)), '+')
(('n2@860|3', (1, 1330)), '+')
(('n2@931|5', (1, 1331)), '-')
(('n2@885|5', (1, 1332)), '+')
(('n2@884|5', (1, 1333)), '-')
(('n2@883|5', (1, 1334)), '-')
(('n2@882|3', (1, 1335)), '+')
(('n2@878|7', (1, 1336)), '-')
(('n2@877|7', (1, 1337)), '+')
(('n2@875|9', (1, 1338)), '-')
(('n2@873|5', (1, 1339)), '+')
(('n2@872|5', (1, 1340)), '-')
(('n2@871|5', (1, 1341)), '+')
(('n2@875|11', (1, 1342)), '-')
(('n2@874|7', (1, 1343)), '+')
(('n2@873|7', (1, 1344)), '+')
(('n2@872|7', (1, 1345)), '-')
(('n2@871|7', (1, 1346)), '+')
(('n2@809|3', (1, 1347)), '+')
(('n2@810|3', (1, 1348)), '-')
(('n2@811|3', (1, 1349)), '-')
(('n2@812|3', (1, 1350)), '-')
(('n2@813|3', (1, 1351)), '+')
(('n2@814|3', (1, 1352)), '-')
(('n2@815|3', (1, 1353)), '+')
(('n2@816|3', (1, 1354)), '+')
(('n2@817|3', (1, 1355)), '+')
(('n2@818|3', (1, 1356)), '+')
(('n2@819|3', (1, 1357)), '-')
(('n2@820|3', (1, 1358)), '+')
(('n2@821|3', (1, 1359)), '-')
(('n2@822|3', (1, 1360)), '+')
(('n2@823|5', (1, 1361)), '-')
(('n2@824|5', (1, 1362)), '+')
(('n2@825|5', (1, 1363)), '-')
(('n2@823|7', (1, 1364)), '-')
(('n2@824|7', (1, 1365)), '+')
(('n2@825|7', (1, 1366)), '-')
(('n2@826|3', (1, 1367)), '+')
(('n2@827|3', (1, 1368)), '+')
(('n2@828|3', (1, 1369)), '+')
(('n2@829|3', (1, 1370)), '-')
(('n2@830|3', (1, 1371)), '-')
(('n2@831|3', (1, 1372)), '+')
(('n2@832|3', (1, 1373)), '+')
(('n2@833|3', (1, 1374)), '-')
(('n2@834|3', (1, 1375)), '-')
(('n2@835|3', (1, 1376)), '-')
(('n2@838|5', (1, 1377)), '-')
(('n2@837|5', (1, 1378)), '+')
(('n2@836|5', (1, 1379)), '+')
(('n2@271|3', (1, 1380)), '+')
(('n2@272|7', (1, 1381)), '-')
(('n2@836|7', (1, 1382)), '-')
(('n2@837|7', (1, 1383)), '-')
(('n2@838|7', (1, 1384)), '+')
(('n2@272|5', (1, 1385)), '-')
(('n2@841|3', (1, 1386)), '-')
(('n2@842|3', (1, 1387)), '-')
(('n2@843|3', (1, 1388)), '+')
(('n2@844|3', (1, 1389)), '-')
(('n2@845|3', (1, 1390)), '+')
(('n2@847|3', (1, 1391)), '-')
(('n2@848|3', (1, 1392)), '+')
(('n2@849|3', (1, 1393)), '+')
(('n2@857|3', (1, 1394)), '-')
(('n2@858|3', (1, 1395)), '-')
(('n2@859|3', (1, 1396)), '-')
(('n2@11|5', (1, 1397)), '+')
(('n2@932|5', (1, 1398)), '-')
(('n2@933|5', (1, 1399)), '+')
(('n2@883|7', (1, 1400)), '+')
(('n2@884|7', (1, 1401)), '+')
(('n2@885|7', (1, 1402)), '-')
(('n2@931|7', (1, 1403)), '+')
(('n2@11|7', (1, 1404)), '+')
(('n2@932|7', (1, 1405)), '-')
(('n2@527|15', (1, 1406)), '+')
(('n2@526|15', (1, 1407)), '+')
(('n2@525|15', (1, 1408)), '-')
(('n2@524|7', (1, 1409)), '+')
(('n2@534|3', (1, 1410)), '+')
(('n2@535|3', (1, 1411)), '+')
(('n2@536|3', (1, 1412)), '+')
(('n2@933|7', (1, 1413)), '+')
(('n2@935|3', (1, 1414)), '-')
(('n2@497|7', (1, 1415)), '-')
(('n2@973|3', (1, 1416)), '+')
(('n2@972|3', (1, 1417)), '-')
(('n2@971|3', (1, 1418)), '+')
(('n2@970|3', (1, 1419)), '+')
(('n2@969|3', (1, 1420)), '-')
(('n2@120|19', (1, 1421)), '+')
(('n2@968|3', (1, 1422)), '+')
(('n2@967|3', (1, 1423)), '+')
(('n2@966|3', (1, 1424)), '-')
(('n2@965|3', (1, 1425)), '+')
(('n2@964|3', (1, 1426)), '-')
(('n2@963|3', (1, 1427)), '-')
(('n2@962|3', (1, 1428)), '-')
(('n2@961|3', (1, 1429)), '-')
(('n2@960|3', (1, 1430)), '-')
(('n2@959|3', (1, 1431)), '+')
(('n2@958|3', (1, 1432)), '+')
(('n2@957|3', (1, 1433)), '+')
(('n2@955|3', (1, 1434)), '+')
(('n2@954|3', (1, 1435)), '+')
(('n2@953|7', (1, 1436)), '+')
(('n2@953|9', (1, 1437)), '+')
(('n2@953|11', (1, 1438)), '+')
(('n2@82|3', (1, 1439)), '-')
(('n2@81|3', (1, 1440)), '-')
(('n2@952|3', (1, 1441)), '+')
(('n2@951|3', (1, 1442)), '+')
(('n2@950|3', (1, 1443)), '-')
(('n2@949|3', (1, 1444)), '-')
(('n2@948|3', (1, 1445)), '-')
(('n2@940|5', (1, 1446)), '+')
(('n2@939|5', (1, 1447)), '-')
(('n2@938|7', (1, 1448)), '-')
(('n2@937|5', (1, 1449)), '-')
(('n2@657|5', (1, 1450)), '-')
(('n2@658|5', (1, 1451)), '+')
(('n2@659|5', (1, 1452)), '+')
(('n2@942|7', (1, 1453)), '-')
(('n2@941|7', (1, 1454)), '-')
(('n2@940|7', (1, 1455)), '+')
(('n2@939|7', (1, 1456)), '-')
(('n2@938|9', (1, 1457)), '-')
(('n2@938|11', (1, 1458)), '-')
(('n2@937|7', (1, 1459)), '-')
(('n2@657|7', (1, 1460)), '-')
(('n2@658|7', (1, 1461)), '+')
(('n2@659|7', (1, 1462)), '+')
(('n2@660|3', (1, 1463)), '-')
(('n2@661|3', (1, 1464)), '-')
(('n2@75|3', (1, 1465)), '-')
(('n2@920|3', (1, 1466)), '+')
(('n2@919|3', (1, 1467)), '+')
(('n2@918|3', (1, 1468)), '-')
(('n2@917|3', (1, 1469)), '+')
(('n2@786|3', (1, 1470)), '+')
(('n2@785|3', (1, 1471)), '-')
(('n2@783|3', (1, 1472)), '-')
(('n2@782|3', (1, 1473)), '+')
(('n2@916|3', (1, 1474)), '+')
(('n2@910|11', (1, 1475)), '+')
(('n2@911|5', (1, 1476)), '+')
(('n2@912|5', (1, 1477)), '+')
(('n2@913|3', (1, 1478)), '-')
(('n2@914|3', (1, 1479)), '+')
(('n2@915|3', (1, 1480)), '-')
(('n2@876|7', (1, 1481)), '-')
(('n2@909|11', (1, 1482)), '+')
(('n2@908|11', (1, 1483)), '-')
(('n2@715|3', (1, 1484)), '-')
(('n2@714|3', (1, 1485)), '-')
(('n2@713|3', (1, 1486)), '-')
(('n2@712|3', (1, 1487)), '+')
(('n2@907|15', (1, 1488)), '+')
(('n2@906|5', (1, 1489)), '-')
(('n2@905|5', (1, 1490)), '-')
(('n2@904|5', (1, 1491)), '-')
(('n2@903|5', (1, 1492)), '-')
(('n2@902|5', (1, 1493)), '-')
(('n2@898|5', (1, 1494)), '+')
(('n2@912|7', (1, 1495)), '-')
(('n2@911|7', (1, 1496)), '-')
(('n2@906|7', (1, 1497)), '-')
(('n2@905|7', (1, 1498)), '-')
(('n2@904|7', (1, 1499)), '-')
(('n2@903|7', (1, 1500)), '-')
(('n2@902|7', (1, 1501)), '-')
(('n2@901|7', (1, 1502)), '+')
(('n2@900|7', (1, 1503)), '+')
(('n2@899|7', (1, 1504)), '+')
(('n2@898|7', (1, 1505)), '+')
(('n2@897|3', (1, 1506)), '-')
(('n2@896|3', (1, 1507)), '-')
(('n2@895|3', (1, 1508)), '+')
(('n2@894|3', (1, 1509)), '-')
(('n2@893|3', (1, 1510)), '-')
(('n2@999|3', (1, 1511)), '+')
(('n2@998|3', (1, 1512)), '+')

(('n2@455|7', (1, 0)), '+')
(('n2@982|5', (1, 1)), '-')
(('n2@981|5', (1, 2)), '-')
(('n2@980|5', (1, 3)), '-')
(('n2@979|5', (1, 4)), '-')
(('n2@978|5', (1, 5)), '-')
(('n2@982|7', (1, 6)), '-')
(('n2@981|7', (1, 7)), '-')
(('n2@980|7', (1, 8)), '-')
(('n2@979|7', (1, 9)), '-')
(('n2@978|7', (1, 10)), '-')
(('n2@977|3', (1, 11)), '+')
(('n2@976|3', (1, 12)), '+')
(('n2@13|11', (1, 13)), '+')
(('n2@14|11', (1, 14)), '-')
(('n2@12|5', (1, 15)), '+')
(('n2@13|13', (1, 16)), '+')
(('n2@14|13', (1, 17)), '-')
(('n2@15|9', (1, 18)), '+')
(('n2@13|15', (1, 19)), '+')
(('n2@14|15', (1, 20)), '-')
(('n2@15|11', (1, 21)), '+')
(('n2@16|5', (1, 22)), '-')
(('n2@17|5', (1, 23)), '-')
(('n2@489|5', (1, 24)), '+')
(('n2@13|17', (1, 25)), '+')
(('n2@14|17', (1, 26)), '-')
(('n2@15|13', (1, 27)), '+')
(('n2@13|19', (1, 28)), '+')
(('n2@14|19', (1, 29)), '-')
(('n2@44|3', (1, 30)), '-')
(('n2@45|3', (1, 31)), '-')
(('n2@46|3', (1, 32)), '+')
(('n2@47|3', (1, 33)), '+')
(('n2@48|3', (1, 34)), '-')
(('n2@49|3', (1, 35)), '+')
(('n2@50|3', (1, 36)), '-')
(('n2@20|3', (1, 37)), '-')
(('n2@19|3', (1, 38)), '-')
(('n2@18|3', (1, 39)), '+')
(('n2@489|7', (1, 40)), '-')
(('n2@17|7', (1, 41)), '+')
(('n2@16|7', (1, 42)), '+')
(('n2@15|15', (1, 43)), '-')
(('n2@43|5', (1, 44)), '-')
(('n2@42|5', (1, 45)), '+')
(('n2@41|5', (1, 46)), '-')
(('n2@40|3', (1, 47)), '+')
(('n2@39|3', (1, 48)), '-')
(('n2@38|3', (1, 49)), '-')
(('n2@648|3', (1, 50)), '+')
(('n2@649|3', (1, 51)), '-')
(('n2@650|3', (1, 52)), '-')
(('n2@651|3', (1, 53)), '+')
(('n2@652|5', (1, 54)), '+')
(('n2@653|5', (1, 55)), '+')
(('n2@36|5', (1, 56)), '-')
(('n2@35|5', (1, 57)), '+')
(('n2@424|5', (1, 58)), '-')
(('n2@652|7', (1, 59)), '+')
(('n2@409|3', (1, 60)), '-')
(('n2@410|3', (1, 61)), '+')
(('n2@411|3', (1, 62)), '+')
(('n2@412|3', (1, 63)), '-')
(('n2@653|7', (1, 64)), '+')
(('n2@36|7', (1, 65)), '-')
(('n2@35|7', (1, 66)), '+')
(('n2@424|7', (1, 67)), '-')
(('n2@423|3', (1, 68)), '-')
(('n2@34|3', (1, 69)), '-')
(('n2@33|3', (1, 70)), '-')
(('n2@32|3', (1, 71)), '-')
(('n2@29|3', (1, 72)), '-')
(('n2@28|3', (1, 73)), '+')
(('n2@61|3', (1, 74)), '+')
(('n2@60|3', (1, 75)), '+')
(('n2@59|3', (1, 76)), '-')
(('n2@26|3', (1, 77)), '-')
(('n2@27|3', (1, 78)), '-')
(('n2@58|3', (1, 79)), '-')
(('n2@57|3', (1, 80)), '+')
(('n2@56|3', (1, 81)), '-')
(('n2@55|3', (1, 82)), '-')
(('n2@54|3', (1, 83)), '-')
(('n2@53|3', (1, 84)), '+')
(('n2@52|3', (1, 85)), '+')
(('n2@51|3', (1, 86)), '-')
(('n2@21|3', (1, 87)), '+')
(('n2@22|3', (1, 88)), '+')
(('n2@62|3', (1, 89)), '-')
(('n2@63|3', (1, 90)), '-')
(('n2@64|3', (1, 91)), '+')
(('n2@65|3', (1, 92)), '-')
(('n2@66|3', (1, 93)), '-')
(('n2@67|3', (1, 94)), '+')
(('n2@68|3', (1, 95)), '-')
(('n2@69|3', (1, 96)), '+')
(('n2@71|3', (1, 97)), '+')
(('n2@72|3', (1, 98)), '+')
(('n2@73|3', (1, 99)), '+')
(('n2@74|3', (1, 100)), '+')
(('n2@76|3', (1, 101)), '-')
(('n2@175|3', (1, 102)), '-')
(('n2@77|3', (1, 103)), '+')
(('n2@78|5', (1, 104)), '-')
(('n2@78|7', (1, 105)), '-')
(('n2@79|3', (1, 106)), '-')
(('n2@80|3', (1, 107)), '+')
(('n2@83|3', (1, 108)), '+')
(('n2@934|3', (1, 109)), '-')
(('n2@84|3', (1, 110)), '-')
(('n2@503|3', (1, 111)), '+')
(('n2@86|3', (1, 112)), '+')
(('n2@87|3', (1, 113)), '+')
(('n2@88|3', (1, 114)), '+')
(('n2@89|3', (1, 115)), '+')
(('n2@90|3', (1, 116)), '+')
(('n2@91|3', (1, 117)), '-')
(('n2@92|3', (1, 118)), '+')
(('n2@93|3', (1, 119)), '-')
(('n2@96|3', (1, 120)), '-')
(('n2@97|3', (1, 121)), '-')
(('n2@98|3', (1, 122)), '+')
(('n2@99|3', (1, 123)), '+')
(('n2@100|3', (1, 124)), '+')
(('n2@101|3', (1, 125)), '+')
(('n2@111|3', (1, 126)), '-')
(('n2@112|3', (1, 127)), '-')
(('n2@113|3', (1, 128)), '+')
(('n2@114|3', (1, 129)), '+')
(('n2@115|3', (1, 130)), '+')
(('n2@116|7', (1, 131)), '-')
(('n2@117|7', (1, 132)), '-')
(('n2@118|7', (1, 133)), '-')
(('n2@119|7', (1, 134)), '-')
(('n2@129|3', (1, 135)), '-')
(('n2@132|3', (1, 136)), '-')
(('n2@131|3', (1, 137)), '-')
(('n2@130|3', (1, 138)), '+')
(('n2@133|3', (1, 139)), '+')
(('n2@291|7', (1, 140)), '+')
(('n2@151|19', (1, 141)), '-')
(('n2@149|13', (1, 142)), '+')
(('n2@126|7', (1, 143)), '-')
(('n2@127|7', (1, 144)), '-')
(('n2@929|7', (1, 145)), '-')
(('n2@128|13', (1, 146)), '-')
(('n2@128|15', (1, 147)), '-')
(('n2@120|11', (1, 148)), '-')
(('n2@151|21', (1, 149)), '-')
(('n2@151|23', (1, 150)), '-')
(('n2@149|15', (1, 151)), '-')
(('n2@150|9', (1, 152)), '-')
(('n2@151|25', (1, 153)), '+')
(('n2@120|13', (1, 154)), '+')
(('n2@291|9', (1, 155)), '+')
(('n2@151|27', (1, 156)), '-')
(('n2@149|17', (1, 157)), '+')
(('n2@126|9', (1, 158)), '-')
(('n2@127|9', (1, 159)), '-')
(('n2@929|9', (1, 160)), '-')
(('n2@128|17', (1, 161)), '-')
(('n2@128|19', (1, 162)), '-')
